City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
377,luwuk,-0.9516,122.7875,23.68,75,77,1.84,Luwuk,28800
378,deqen,29.9618,90.7188,8.88,82,21,1.93,Dêqên,28800
379,arno,60.1167,18.6333,13.77,93,100,4.99,Arnö,7200
380,lerwick,60.1545,-1.1494,12.0,83,4,9.02,Lerwick,3600
381,mandal,25.45,74.5667,24.76,36,0,3.14,Māndal,19800
382,suzhou,31.3114,120.6181,19.9,71,97,3.01,Suzhou,28800
383,ancud,-41.8697,-73.8203,9.57,58,86,3.2,Ancud,-10800
384,ambovombe,-25.1667,46.0833,18.72,67,98,6.48,Ambovombe,10800
385,kittila,67.6647,24.8936,2.08,93,100,0.51,Kittilä,10800
386,la paz,-16.5,-68.15,19.99,20,40,3.09,La Paz,-14400
387,uturoa,-16.7333,-151.4333,26.09,81,1,6.72,Uturoa,-36000
388,brezina,33.0989,1.2608,25.05,29,0,2.46,Brezina,3600
389,san patricio,28.017,-97.5169,29.94,63,55,6.3,San Patricio,-18000
390,smara,26.7384,-11.6719,33.57,15,0,4.7,Smara,3600
391,guerrero negro,27.9769,-114.0611,21.83,51,0,7.52,Guerrero Negro,-25200
392,andzhiyevskiy,44.23,43.08,17.41,88,40,3.13,Andzhiyevskiy,10800
393,kochi,9.9399,76.2602,26.68,89,28,2.62,Kochi,19800
394,sena madureira,-9.0656,-68.6569,33.64,47,100,1.2,Sena Madureira,-18000
395,port isabel,26.0734,-97.2086,35.02,72,20,6.17,Port Isabel,-18000
396,el bauga,18.262,33.9081,35.19,15,1,3.57,El Bauga,7200
397,bel ombre,-4.6167,55.4167,27.91,78,40,6.69,Bel Ombre,14400
398,nantucket,41.2835,-70.0995,20.03,82,0,8.75,Nantucket,-14400
399,rawson,-43.3002,-65.1023,12.0,56,64,7.79,Rawson,-10800
400,lyuban',52.7985,28.0048,10.22,73,44,2.72,Lyuban',10800
401,anadyr,64.75,177.4833,-2.72,100,0,5.0,Anadyr,43200
402,san mariano,7.5,126.0,22.98,91,98,0.93,San Mariano,28800
403,tralee,52.2704,-9.7026,10.96,93,63,2.51,Tralee,3600
404,sao joao da barra,-21.6403,-41.0511,24.05,90,86,4.35,São João da Barra,-10800
405,bonthe,7.5264,-12.505,26.38,85,44,2.89,Bonthe,0
406,yuktae-dong,40.0247,128.1597,16.64,48,100,2.2,Yuktae-dong,32400
407,arvika,59.6553,12.5852,11.34,88,100,2.16,Arvika,7200
408,saint-philippe,-21.3585,55.7679,22.77,83,49,2.26,Saint-Philippe,14400
409,dosso,13.049,3.1937,30.81,52,47,3.51,Dosso,3600
410,awjilah,29.1081,21.2869,24.28,46,15,5.95,Awjilah,7200
411,maneromango,-7.1988,38.7848,19.89,93,14,2.85,Maneromango,10800
412,tadine,-21.55,167.8833,21.52,71,100,8.59,Tadine,39600
413,anchau,10.9597,8.3916,21.58,95,100,2.97,Anchau,3600
414,nizhniy kuranakh,58.8353,125.4869,4.48,93,100,2.98,Nizhniy Kuranakh,32400
415,amos,48.5669,-78.1162,23.39,64,100,4.81,Amos,-14400
416,mana,5.6592,-53.7767,29.36,71,51,6.89,Mana,-10800
417,port moresby,-9.4431,147.1797,24.68,94,20,1.54,Port Moresby,36000
418,marsabit,2.3284,37.9899,23.69,38,89,9.46,Marsabit,10800
419,zonguldak,41.25,31.8333,12.38,91,98,0.99,Zonguldak,10800
420,parscov,45.2833,26.55,13.23,57,0,1.75,Pârscov,10800
421,maintirano,-18.0667,44.0167,25.68,79,0,8.57,Maintirano,10800
422,sechura,-5.5569,-80.8222,26.95,54,17,7.11,Sechura,-18000
423,anapa,44.8908,37.3239,21.58,77,0,5.0,Anapa,10800
424,lata,40.1629,-8.3327,21.07,86,0,1.31,Lata,3600
425,gemena,3.25,19.7667,23.04,94,100,1.18,Gemena,3600
426,nadym,65.5333,72.5167,8.99,90,54,9.04,Nadym,18000
427,the pas,53.8251,-101.2541,6.01,93,100,5.14,The Pas,-18000
428,igrim,63.1906,64.4162,10.59,78,68,5.75,Igrim,18000
429,port saint john's,-31.6229,29.5448,17.8,77,0,6.58,Port Saint John's,7200
430,malatya,38.5,38.0,16.03,55,75,3.6,Malatya Province,10800
431,sitia,35.2,26.0986,24.43,70,4,11.65,Sitia,10800
432,tamanrasset,22.785,5.5228,22.95,35,40,1.03,Tamanghasset,3600
433,vikhorevka,56.1201,101.1636,2.62,42,100,2.01,Vikhorevka,28800
434,aras-asan,8.8908,126.3033,25.48,90,100,2.96,Aras-asan,28800
435,bathsheba,13.2167,-59.5167,26.34,89,100,5.14,Bathsheba,-14400
436,canar,-2.55,-78.9333,20.02,75,67,0.57,Cañar,-18000
437,beberibe,-4.1797,-38.1306,27.46,72,78,5.48,Beberibe,-10800
438,shimo-furano,43.35,142.3833,10.84,91,97,5.16,Shimo-furano,32400
439,terralba,39.7192,8.6392,22.1,76,0,0.82,Terralba,7200
440,tari,12.4086,4.4914,28.39,65,100,5.2,Tari,3600
441,brookings,44.3114,-96.7984,32.19,45,0,9.51,Brookings,-18000
442,tazovsky,67.4667,78.7,7.68,96,100,7.47,Tazovsky,18000
443,hays,30.0502,-98.0336,34.33,41,95,3.13,Hays,-18000
444,zhangjiakou shi xuanhua qu,40.6103,115.0447,13.57,59,2,0.54,Zhangjiakou Shi Xuanhua Qu,28800
445,smithers,54.7804,-127.1743,9.18,87,75,1.03,Smithers,-25200
446,kapuskasing,49.4169,-82.4331,28.05,54,40,7.2,Kapuskasing,-14400
447,isla mujeres,21.2311,-86.731,32.03,73,69,3.96,Isla Mujeres,-18000
448,paracuru,-3.41,-39.0306,27.28,75,100,6.17,Paracuru,-10800
449,rongelap,11.1635,166.8941,28.96,76,100,5.21,Rongelap,43200
450,pacific grove,36.6177,-121.9166,21.23,79,0,2.68,Pacific Grove,-25200
451,hilo,19.7297,-155.09,28.12,81,100,1.54,Hilo,-36000
452,mili,6.0815,171.735,28.56,76,38,2.93,Mili,43200
453,acarau,-2.8856,-40.12,28.05,72,95,8.07,Acaraú,-10800
454,muli,2.9167,73.5667,27.77,78,88,5.01,Muli,18000
455,kasongo-lunda,-6.4667,16.8167,21.38,94,99,0.64,Kasongo-Lunda,3600
456,port blair,11.6667,92.75,26.02,94,75,0.51,Port Blair,19800
457,tateyama,34.9833,139.8667,22.2,61,94,4.41,Tateyama,32400
458,zhezqazghan,47.7833,67.7667,10.68,71,11,3.75,Dzhezkazgan,21600
459,weining,26.85,104.2333,16.15,96,99,1.28,Weining,28800
460,juva,56.4368,57.9478,13.23,79,100,5.81,Yuva,18000
461,anloga,5.7947,0.8973,26.97,84,10,4.54,Anloga,0
462,san pedro pochutla,15.7333,-96.4667,31.29,61,80,3.24,San Pedro Pochutla,-21600
463,zeerust,-25.5369,26.0751,16.96,49,0,2.89,Zeerust,7200
464,akdepe,42.0551,59.3788,14.05,43,8,5.35,Akdepe,18000
465,luganville,-15.5333,167.1667,25.2,83,99,7.04,Luganville,39600
466,bandarbeyla,9.4942,50.8122,26.27,88,9,5.25,Bandarbeyla,10800
467,zavodskoy,43.4597,132.2922,10.4,100,40,1.0,Zavodskoy,36000
468,gamay,12.3854,125.2979,26.65,86,100,2.69,Gamay,28800
469,funafuti,-8.5243,179.1942,29.0,89,20,3.09,Funafuti,43200
470,taungdwingyi,20.0167,95.55,23.57,95,74,3.31,Taungdwingyi,23400
471,arkhangel'sk,64.5401,40.5433,3.4,84,46,1.97,Arkhangelsk,10800
472,nizao,18.25,-70.2,34.04,73,49,3.61,Nizao,-14400
473,ndele,8.4109,20.6473,21.47,89,98,0.67,Ndélé,3600
474,sao vicente,-23.9631,-46.3919,23.1,62,100,1.03,São Vicente,-10800
475,kertih,4.5141,103.4483,23.01,100,100,0.51,Kertih,28800
476,araras,-22.3569,-47.3842,28.82,70,79,1.08,Araras,-10800
477,tahe,52.3333,124.7333,3.14,91,79,1.07,Tahe,28800
478,novyy oskol,50.7631,37.8691,12.82,54,75,1.84,Novyy Oskol,10800
479,timbuktu,16.7735,-3.0074,36.02,23,97,1.67,Timbuktu,0
480,campo grande,-20.4428,-54.6464,32.75,46,40,5.14,Campo Grande,-14400
481,selkirk,50.1436,-96.8845,19.49,87,100,2.24,Selkirk,-18000
482,kumylzhenskaya,49.8809,42.5898,18.64,52,100,3.87,Kumylzhenskaya,10800
483,praia da vitoria,38.7333,-27.0667,21.14,73,20,4.93,Praia da Vitória,0
484,raigarh,21.9,83.4,24.06,98,99,0.9,Raigarh,19800
